company,url,comapanyFounded,comapnyFounder,companyCEO,companyHQ,International address,Indian address,e-mail,Contact number,Twitter Handle,ISS World,Surveillance products and solutions,Internet monitoring,Data mining and profiling,Phone monitoring,Speech analysis/Voice recognition,Face recognition,Location monitoring,Analytics,Visual surveillance,Aerial surveillance,Biometric (access control) systems,Customers,Compliance with lawful interception standards and regulations,Certification,Privacy Policy,productThreat,clientThreat,notes 
Raviraj Technologies,http://www.ravirajtech.com/index.html,,Mr. Raviraj Padwal ,Mr. Raviraj Padwal ,"Pune, India",,"319 Narayan peth, Pune, Maharashtra, India, Zip/Postal : 411030", info@ravirajtech.com,00 91 20 24475992,,,"Biometric access control products, Biometric time attendance recorders, Biometrics Identification Authentication, USB Fingerprint Scanner, Fingerprint Car Lock, Fingerprint Modules, Fingerprint Software products, Fingerprint Scanners: http://www.ravirajtech.com/product.html",,,,,,,,,,"Biometric access control products, Biometric time attendance recorders, 
Biometrics Identification Authentication, USB Fingerprint Scanner, 
Fingerprint Car Lock, Fingerprint Modules, Fingerprint Software 
products, Fingerprint Scanners: http://www.ravirajtech.com/product.html","India, 
                                                        USA (New York, California), UK, Dubai, UAE, Oman, 
                                                        Bahrain, Saudi Arabia, Australia, south Africa, 
                                                        Canada, America, middle east, Europe, Asia, 
                                                        Argentina, Austria, Azerbaijan, Bahamas,  
                                                        Bangladesh, Belgium, Bhutan, Brazil, Brunei, 
                                                        Bulgaria, Burma, Cameroon, Canada, Chile, China, 
                                                        Colombia. Congo, Costa Rica, Croatia, Cuba, Cyprus, 
                                                        Czech Republic, Denmark, East west north south, 
                                                        Ecuador, Egypt,  England, c Laos, Malaysia, 
                                                        Maldives, Islands, Mauritius, Mexico, Myanmar, 
                                                        Nepal, The Netherlands, New Zealand, Nigeria, 
                                                        Ireland, Norway, Oman, Pakistan, Philippines, 
                                                        Poland, Portugal, Qatar, Romania, Russia, Saudi 
                                                        Arabia, Scotland, Seychelles, Sierra, Property Singapore, South 
                                                        Africa, Spain, Sri Lanka, Sudan Sweden, Switzerland, 
                                                        Syria, Taiwan, Tanzania, impact 
                                                        components Thailand, Trinidad, Tunisia, 
                                                        Turkey, United Arab Emirates, United Kingdom, Britain, United States of 
                                                        America,  Vatican, Venezuela, Vietnam, Wales, 
                                                        Zimbabwe Karnataka, Biometric Madhya Pradesh, 
                                                        Biometrics Maharashtra, Orissa, Punjab",,"enBioScan-C1 product: USB Optical FBI PIV certified fingerprint  scanner enBioScan-C1 -STQC Aadhaar Certified Live Scan fingerprinting. (1) FBI PIV certified, (2) STQC certified, (3) CE certification for Fingerprint Reader, (4) FCC certification for Fingerprint Reader: http://www.ravirajtech.com/FBI-PIV-certified-fingerprint-scanner-enBioScan-C1.html",N/A,1,4,,"Raviraj Technologies is an Indian company which supplies multiple countries all around the world: http://www.ravirajtech.com/ Additionally, Raviraj Technologies sells Aadhaar certified products (UID): http://www.ravirajtech.com/FBI-PIV-certified-fingerprint-scanner-enBioScan-C1.html"
Smartmatic,http://www.smartmatic.com/contact/offices-contacts/,2000,Antonio Mugica,Antonio Mugica,"London, UK",http://www.smartmatic.com/contact/offices-contacts/ (worldwide),"505-A 5th Floor D-4, Rectangle 1
District Centre, Sacket
New Delhi 110017",india@smartmatic.com,00 91 9 999769498,@smartmatic,,"(Biometric) Election Solutions and ID Management Solutions, ",,,,,,,,,,"Biometric Election Solutions (http://www.smartmatic.com/solutions/electoral-solutions/view/article/next-generation-voting-technology/#.UoYPa85_W8Y), Biometric Identity Management Solutions (http://www.smartmatic.com/solutions/id-management-solutions/view/article/comprehensive-biometric-identity-management/#.UoYPns5_W8Y)","CIDLIS (Colombia), Commission on Elections (Philippines), Electoral Commission of Zambia, Electoral Superior Court (Bolivia), Electoral Superior Court (Brazil), Federal Electoral Institute (Mexico), Federal Public Service Interior (Belgium), La Punta University (Argentina), National Electoral Council (Ecuador), National Electoral Council (Venezuela), National Electoral Office (Argentina), National Identity Office (Haiti), National Registry (Colombia), Secretariat of the Interior (Mexico), TransCaribe (Colombia), United Nations Development Programme (http://www.smartmatic.com/customers/). Additionally, Smartmatic has offices across the globe and is possibly supplying biometric technology to other countries as well. ",,,N/A,1,4,http://www.smartmatic.org/en/newsroom/,"Smartmatic is the world's leading electoral automation company, having run more large-scale automated elections around the globe than anyone else.Smartmatic people and technology have helped register more than 2.2 billion votes in over 3,500 elections (http://www.smartmatic.com/about-us/history/)"
Spy Impex,http://www.tradedir.in/company/spy-impex-69292,2008,,Mr. Suresh Savaliya,"Gujarat, India",,"66, DHRUVTARAK SOCIETY, OPP. HARIOM MILL, VED ROAD, Surat - 395004, Gujarat, India",,00 91 261 2510073,,,"Huge variety of spy cameras, phone monitoring software and GPS vehicle tracking systems: http://www.tradedir.in/company/spy-impex-69292 ",,,"Cell phones with spy wireless cameras, Cell phone spy software, Blackberry Spy Phone Software, Windows Mobile Spy Phone Software, Spy Phone Generator 3rd Edition S60v3, All in One Spy Phone, Mobile Phone Interceptor, Smartphone Spy Software, Spy Mobile Phone Software, Mobile Call Interceptor Software: http://www.tradedir.in/company/spy-impex-69292",,,GPS Vehicle Tracking System: http://www.tradedir.in/company/spy-impex-69292,,"Coca Cola Tin Camera, Hidden Pen Camera, Spy Watch Camera, Spy mini CCTV camera with transmitter, Car key camera, Hidden camera sunglasses and much more spy cameras: http://www.tradedir.in/company/spy-impex-69292",,,"The public, companies, hotels, and possibly law enforcement",,,http://www.tradedir.in/privacy/,"6, 5, 10, -","1, 2, -",,"Spy Impex sells a wide range of spy products, including coca cola tin cameras...!"
Aryabhatta Infosys,http://www.aryainfo.com/,,,,"Gujarat, India",,"A/ 61, Vishranti Estate, Near Narayan Gardens, Off Yash Complex, Gotri Road, Vadodara - 390 021, Gujarat, India",response@aryainfo.com,00 91 265 2370173,,,"Biometric devices, RFID, Access Control Systems, Voice Recognition, Face Recognition Systems",,,,Voice Recognition Systems: http://www.aryainfo.com/index.php/biometrics/biometricdevices/voicerecognitionsystems,Face Recognition Systems: http://www.aryainfo.com/index.php/biometrics/biometricdevices/facerecognition,"RFID Card based Attendance Recorders & Access Controllers: http://www.aryainfo.com/index.php/biometrics/rfid
",,,,"Fingerprint recorders (http://www.aryainfo.com/index.php/biometrics/biometricdevices/fingerprintar), Hand Geometry (http://www.aryainfo.com/index.php/biometrics/biometricdevices/handgeometry), Palm Vein (http://www.aryainfo.com/index.php/biometrics/biometricdevices/palmvein), Retina Scanner (http://www.aryainfo.com/index.php/biometrics/biometricdevices/retinascanner), Iris Scanner (http://www.aryainfo.com/index.php/biometrics/biometricdevices/irisscanner)",Corporations: http://www.aryainfo.com/index.php/clients,,,N/A,"1, 4, 3, 5, -",2,,
Savant Automation,http://www.indiamart.com/savant-automation/,,,Mr. Srinivasan,"Chennai, India",,"No. 2/2, Kumaran Avenue, Valasarawakkam, Chennai - 600 087, Tamil Nadu, India",,00 91 9176265999,,,"CCTV cameras, Access control systems, RFID solutions",,,,,,RFID solutions: http://www.indiamart.com/savant-automation/products.html,,"Solutions based on the range in IR or Night Vision or Day / Night 
Cameras, CCD or Dome Camera, High Speed Dome Camera, IP Camera, GSM 
Camera, PTZ Cameras, Vari Focal Dome, Flexi Dome Camera, Bullet camera, 
Vandal Proof Cameras, Hidden Cameras, Motion Detection Cameras and more (http://www.indiamart.com/savant-automation/products.html)",,"Access Control Systems (RFID,Smart Card, Proximity Card, Biometric, Voice Recognition, Iris): http://www.indiamart.com/savant-automation/products.html","Companies, hotels, public",,,N/A,"5, 6, 1, -","1, 2, -",,
"
Icon Infosystems","http://www.indiamart.com/icon-infosystems/, http://www.iconinfosystems.co.in/",,,,"Bangalore, India",,"No. 572,17th A Main, 6th F Cross, 6th Block, Kormangala, Bengaluru - 560095, Karnataka, India",,00 91 80 41627823,@Iconinfosystems,,"Voice Recognition software, Call recording and monitoring solutions",,,Call recording and monitoring solutions: http://www.indiamart.com/icon-infosystems/products.html#cti-software,Voice Recognition software: http://www.indiamart.com/icon-infosystems/products.html#cti-software,,,,,,,"The public, businesses, organizations and possibly law enforcement agencies",,,N/A,"10, 4, -","1, 2, -",,
Mobile Spy India (Retina-X Studios),http://www.mobilespy.co.in/,1997,,James Johns,"Jacksonville, USA","13453 North Main Street
Suite 201
Jacksonville, FL 32218
United States of America","502,Pink Tower, Malviya Nagar, J.l.n. Marg, Jaipur Gpo, Jaipur - 302001","sales@acespy.com,          media@acespy.com",00 1 888 475 5345,@retinaxstudios,,Mobile Spy Software for Mobile Phones,,,"Mobile Spy Software features: (1) Records activity from Facebook, WhatsApp and Twitter messaging services used on the mobile phone. (2) Each incoming and outgoing number is logged along with duration and time stamp. (3) Every text message is logged even if the phone's logs are deleted. Includes full text. (4) All inbound and outbound email activity from the primary email account is recorded. (5) GPS postions are uploaded every thirty minutes with a link to a map. (6) ID information on all cell towers that the device enters into range of is recorded. (7) Every contact on the phone is logged. New contacts added are also recorded. (8) All URL website addresses visited using the phone's browser are logged. (9) All personal tasks that are created are recorded. (10) Every calendar event is logged. Date, time, and locations are recorded. (11) 
All photos and videos taken by the phone are recorded and viewable. (12) Log YouTube videos watched on the phone with link to each video. (13) View the Gmail messages made on the phone with date, to/from addresses, subject and full text. (14) Lets you see what Apps are installed on the phone. (15) Records messenger logs from BlackBerry Messenger, Yahoo, Gtalk, Windows Live, and AOL. (16) Records all iMessages on the iPhone. (17) BlackBerry PIN messages. (18) Block the phone user's access to certain applications. (19) The remote uninstall feature lets you finish and tidy up your monitoring setup without being at the monitored phone. (20) Send SMS commands to the phone.And many more... View: http://www.mobilespy.co.in/spy_features.html 

                                                                                                                                                                                                     
                
                                                                                                                                                                                                          
                                                                                                                                                                
                                                                                                                                                                                                        

                                                                                                                                                                                                ",,,,,,,,The public,"User Legal Agreement: http://www.mobilespy.co.in/user_legal_agreement.html, Mobile Spy Policies: http://www.mobilespy.co.in/legal.html ",,N/A,10,1,,Mobile spying features: http://www.mobilespy.co.in/spy_features.html
SPY Action India Home Products ,http://www.spydelhi.in/,17 years ago,,"Contact persons: PARMINDER SINGH, ARJUN SINGH","New Delhi, India","42/A, Jephson Road,
Near Green Street,
East London,
London - E7 8LZ.","H.0.2162/29 GURU ARJUN NAGAR OPP.
METRO PILLER NUMBER 230 MAIN PATEL NAGAR ROAD
NEW DELHI-110008",actionindiadelhi@gmail.com,00 91 9811251277/ 9811601716,@spyproductdelhi,,"Spy Cameras, Spy Wireless Cameras, GPS trackers, Spy software, CCTV cameras, Spy gadgets, Spy Keylogger Software, Computer Spy software","Spy Keylogger software: There is the PS/2 model, which has the same fittings as a standard PS/2 
keyboard. There is also the USB model, which is compatible with all 
modern keyboards. The third type of keylogger is one concealed within 
the computer keyboard itself (http://www.spydelhi.in/Spy-Keylogger-In-Delhi-India.html). Computer Spy Software is a stealthy monitoring tool which allows you to 
secretly track all activities of computer users, to automatically check systems, including all areas of the system such as email sent, Web sites visited, files operations, every keystroke, username and password, 
online conversation (ICQ, MSN, AIM), and take screen snapshots at set intervals just like a surveillance camera directly pointed at the computer monitor (http://www.spydelhi.in/Spy-Keylogger-Software-In-Delhi-India.html).  ",,"Spy Software for Nokia Mobile: Spyphone - Listen in to surrounding sounds and conversations

Text Interception - Receive duplicate copies of all sent and received text messages

Text Alert - Receive 'Real Time notifications of all calls made and received including the number

Boot/SIM change - Receive Real Time notifications when the target phone is switched on and when the SIM card is changed (http://www.spydelhi.in/Spy-Software-For-Nokia-Mobiles-In-Delhi-India.html), Spy Software Blackberry Mobile: lackberry Spyware for Blackberry phone is the latest BB Messenger Spy 
application designed specifically for Blackberry users. Blackberry 
Spyware allows complete monitoring and tracking of Blackberry phone. 
Blackberry Spyware can be used to reveal truth about your family. 
Moreover, Spy can also be used to monitor the usage of employees by the 
company. blackberry spyware for Blackberry phone enables monitoring of 
calls, text messages and location of Blackberry.
Spy for Blackberry 
phone is a service which can be used by any person for monitoring any 
Blackberry device. Once Blackberry Spyware is installed on the phone, it
 enters into stealth mode hence software Spy is totally undetectable by 
another user (http://www.spydelhi.in/Spy-Software-For-BlackBerry-Mobiles-In-Delhi-India.html), Spy Software for i-Phone (http://www.spydelhi.in/Spy-Software-For-I-Phone-In-Delhi-India.html), Spy Software for Android Mobile Phones (http://www.spydelhi.in/Spy-Software-For-Android-Phone-In-Delhi-India.html), Spy Phone Spftware: a program that you install on a mobile phone which after installation 
secretly records events that happen on the phone and delivers this 
information to your mobile phone via SMS. SPYPHONE also allows you to 
listen to the surroundings of the target mobile, listen to a live phone 
conversation and lets you know the location of the device (http://www.spydelhi.in/Spy-Mobile-Phone-Software-In-Delhi-India.html) ",,,,,"Spy CCTV Camera with micro SD Card: The weatherproof surveillance camera is designed for day / night, indoor
 / outdoor applications with the support of infrared illuminators and 
vandal proof die-cast Plastic housing. The outdoor camera is powered by 
high resolution color 1/3 inch Sony Super HAD CCD image sensor and IR 
lens with the construction of vandal-proof housing. The day / night 
security camera provides color images in bright lighting conditions, and
 in low light or night situations the IR sensor automatically switches 
images to black-and-white (http://www.spydelhi.in/Spy-Cctv-Camera-With-Micro-Sd-Card-In-Delhi-India.html), Spy Camera gadgets: http://www.spydelhi.in/Spy-Camera-In-Delhi-India.html ",,,"All Top and Leading News Channels, Corporate   Sectors, Private Detective Agencies, Investigation Agencies, the public.",,,http://www.spydelhi.in/Privacy-Policy.html,"9, 10, 6, -","1, 2, 4, -",,
Nerve Centrex (NC),http://www.nervecentrex.com/,2005,,,"Bangalore, India",,"No.122, Soudhamini, 3rd Main Road, Gruhalakshmi Layout, 2nd Stage, Kamalanagar, Bangalore - 560079", helpdesk@nervecentrex.com,00 91 80 2323 1228,@nervecentrex,,"Nerve Centrex is partnered with the world leader in network video surveillance – AXIS Communications,
 a company headquartered in Sweden with a 25 year track record of 
delivering state-of-the-art network video surveillance products & 
solutions. Axis products use Axis core technology – the ETRAX and ARTPEC chips. 
With unrivalled network video experience, Axis delivers powerful 
networking functionality and results-enhancing features like motion 
detection, power-over-ethernet, megapixel, HDTV, two-way audio, alarm 
inputs/outputs, active tampering alarm and thermal detection. As their channel partner Nerve Centrex offers network video surveillance
 from standalone sites to large scale enterprise installation with 
wireless connectivity. We offer end-to-end services like network 
cameras, integration, video management software and wireless video 
networks. ",,,,,,,,"Nerve Centrex offers network video surveillance
 from standalone sites to large scale enterprise installation with 
wireless connectivity. We offer end-to-end services like network 
cameras, integration, video management software and wireless video 
networks.",,,Businesses and Governments,,An ISO 9001:2008 Certified Company,N/A,"6, -","2, 4, -",,
Aurora Integrated Systems (AIS),http://www.aurora-is.com/index.php?pg=company&comId=aboutus,,Team of seven graduates from IIT Kanpur,,"Bangalore, India",,"60/4, Srirampura Cross
Opp. JNC ASR, Jakkur Post
Bangalore – 560064
Karnakata, India",contact@aurora-is.com,00 91 80 65836508,,,"UAVs: Urban View and Altius Mk-II, Aerostat systems: SkyView 50, SkyView 100 HD and SkyView 200",,,,,,,,,"Urban View is an Unmanned Aerial Vehicle that enables you to conduct reconnaissance in remote or arduous terrain (http://www.aurora-is.com/index.php?pg=uav&uavId=urbanview). Altius Mk-II is a medium altitude (< 15,000 ft), 
medium range (up to 150 kms LOS), fully autonomous, mission programmable
 fixed wing UAV. The Altius Mk-II system offers ISTAR (Intelligence, 
Surveillance, Target Acquisition & Reconnaissance) capabilities (http://www.aurora-is.com/index.php?pg=uav&uavId=altiusmk2). The SkyView aerostat systems are airborne 
persistent surveillance systems. Their flexibility in deployment and 
scalability ensures that they can meet most mission requirements (http://www.aurora-is.com/index.php?pg=aerostat&aerostatId=skyview50).  ",,"Military and Police (law enforcement agencies)
",,,N/A,"2, -",4,"http://www.thehindu.com/news/cities/Coimbatore/article454391.ece, http://www.hindu.com/2010/10/13/stories/2010101351080200.htm, http://hindu.com/2010/02/04/stories/2010020458460200.htm",
Speck Systems Limited,http://www.specksystems.com/sub-links/Strengths/core-strengths-UAV.htm,,Mr. VS Rao,Mr. Kamichetty Chittaranjan Muni Kumar (KCM Kumar),"Hyderabad, India",,"Electronics Complex
Kushaiguda, Hyderabad – 500062.
Andhra Pradesh, India (and other offices in Delhi, Jammu, Guwahati, Kolkata and Bangalore: http://www.specksystems.com/sub-links/contact-us/offices.htm)",,00 91 040 27125305 / 27125306.,,,UAVs and micro-UAVs,,,,,,,,,"UAVs: Speck has specialized in mini and micro UAVs, mounted with a variety of sensors designed for tactical applications for real-time situational awareness. Speck’s UAV offerings are in strategic partnership with IAI-Malat, 
Israel, along with home-based support and maintenance. The company is 
also working on a defined roadmap for continued R & D in the areas 
of Data Processing, Exploitation and Transfer in the areas of UAV 
technologies (http://www.specksystems.com/sub-links/Strengths/core-strengths-UAV.htm)",,Military,,An ISO 9001 & 27001 Certified Company,End of page Privacy Statement: http://www.specksystems.com/index.htm,2,4,,"Speck was the first Indian company to design, manufacture and fly a micro UAV, indigenously."
Aeron Systems Pvt. Ltd.,http://aeronsystems.en.ec21.com/,2008,,Ashvani Shukla ,"Pune, India",,"S. no. 3/10, Anand Colony, Opp Barate Bung, River Side, Karve Nagar, Pune Maharashtra 411052 India",,00 91 020 65607770,,,UAVs,,,,,,,,,UAVs: http://aeronsystems.en.ec21.com/,,Military,,,N/A,2,4,,
Smart Avionics Co Pvt Ltd.,http://smartavi.en.ec21.com/,1996,,Rajendra Kshirasagar,"Pune, India",,"anil Co-op. hos. society, 775, Shivaji nagar, opp,K.N.P., Erandwane Pune Maharashtra 411004 India",,00 91 20 25671980,,,UAVs,,,,,,,,,UAVs: http://smartavi.en.ec21.com/,,Military,,,N/A,2,4,,
Aerobot,http://aerobot.en.ec21.com/,,,Arjun Naik,"Bangalore, India",,"Num 71, Sy.num. 27, CMC Katha 135-136, Marthalli - KR Puram Ring Road Bangalore 560037 India",,00 91 91 9900106582,,,UAVs,,,,,,,,,UAVs: http://aerobot.en.ec21.com/,,Military,,,N/A,2,4,,
Infoserve India Private Limited,http://www.infoserveindia.com/products/26/Internet-Monitoring-System.html,1997,,,"New Delhi, India",,"402, World Trade Centre, Babar Road, New Delhi: 110001","info@infoserveindia.com, infoserve@groupsinha.com","011- 23709016, 23709017",,,"Call Data Record (CDR) Miner application, Deep Eye Network Surveillance System, Internet Monitoring System","Deep Eye Network Surveillance System: DeepEye system uses service based targeting which only targets and intercepts data on the following parameters namely: E-mail ID (the mail is sent from), E-Mail ID (the mail is sent to), IP address of a Sub ISP to intercept all traffic from a suspicious network and the keyword content in the mail or attachment. DeepEye uses new interception standards and methods for advanced deep packet inspection IP probing solutions, to extract relevant data and deliver it to IT 
Security teams of the organization. The organization has the option to 
use other packets of the system including Data Mining and Artificial 
Intelligence to provide a comprehensive package. Ability to decode wide range of protocols and applications in Packet switched data which includes: Webmail (includes yahoo, hotmail etc) packets, Outlook express and other such Clients, Chats and other instant messenger, All FTP and TFTP Transfers, All visited websites, Peer to Peer networks, All browsed images, Audio and Video over IP, Voice over Internet Protocol (VOIP). Monitors all mails sent and received. Tracks Yahoo, Hotmail, rediffmail etc., POP and SMTP mails,
all get and post requests, chats and instant messages, all blogs and websites visited, all audio and video over IP Network, all files transfers (FTP and TFTP), all printed documents, all suspect IPs, identify all compromised systems and the attacking servers (http://infoserveindia.com/products/25/Network-Surveillance-System.html). Internet Monitoring System: 1. Service based targeting system that decodes 100% of traffic before filtering.
2. Analyze Data flowing at 10 G/sec with less than 2% packet loss
3. A single system is responsible for delivery to different Law Enforcement Monitoring Facilities.
4. Deep Packet Inspection technology
5. Privacy concerns are met by ensuring that only targets relevant 
data is intercepted. The interception is done on the following 
parameters namely –
E-mail ID, the mail is sent fromE-Mail ID, the mail is sent toIP address of a Sub ISP to intercept all traffic from a suspicious networkThe keyword content in the mail.Landline Numbers of suspects
6. User Privileges and escalations attached to each officer and administrator
7. Link Analysis and Pattern matching on all captured data. Advantages: Intelligence gathering for an entire state or a region, Completely indigenous developed with scalable architecture and Infrastructure, Data loss of less than 2%, Build a chain of suspect from a single start point, 2nd Generation interception System, All privacy concerns are met and maintained by the product automatically, Advanced link analysis and pattern matching algorithms, Completely Automated system, Data processing of up to 10 G /s, Automated alerts on capture of suspicious data (http://infoserveindia.com/products/26/Internet-Monitoring-System.html). ","Call Data Record (CDR) Miner application: View link for features: http://infoserveindia.com/products/24/CDR-Mining.html. Internet Monitoring System: Link Analysis and Pattern matching on all captured data, Build a chain of suspect from a single start point, Advanced link analysis and pattern matching algorithms, Data processing of up to 10 G /s, Automated alerts on capture of suspicious data (infoserveindia.com/products/26/Internet-Monitoring-System.html)",,,,,,,,,"Law enforcement agencies, intelligence agencies, police, governments",,An ISO 9001:2008 Certified Company and a NASSCOM member,http://infoserveindia.com/privacy_policy.html,"9, 8, -",4,,Website Privacy Policy: http://infoserveindia.com/privacy_policy.html
SilverStar Tracking Solutions,http://www.sstracking.com/,2008,,,"Mumbai, India",,"Plexitech Technologies Pvt Ltd.
511 Vardhaman Chambers
17G Cawasji Patel St 
Fort, Mumbai 400 001
India ", sales@sstracking.com, 00 91 22 42129000 ,@SSTracking,,Vehicle Trackers,,,,,,Compact Tracker SS70: http://www.sstracking.com/Common/Products/CompactTrackerSS70.aspx,,,,,The public,,,http://www.sstracking.com/Common/Footer/Privacy_Policy.aspx,5,1,,
Convexicon Software Solutions India Pvt. Ltd.,http://www.convexiconindia.com/,More than 2 years ago,,,"Gurgaon, India",,"38-Dakshin Marg, DLF Phase-II, Opposite Sahara Mall,
Gurgaon-122002 (Hr.)","info@convexiconindia.com, ask.hr@convexiconindia.com ","00 91 9958620044, 00 91 9911340044 ",@convexiconindia,,"Vehicle Tracking Systems (software and hardware), Biometric Access Control Systems, CCTV cameras",,,,,,"Smart Vehicle Tracker (SVT-22): http://www.convexiconindia.com/hardware/vehicle.html, ",,CCTV surveillance systems: http://www.convexiconindia.com/hardware/surveillance.html,,"Biometric Access Control System: The System is also known for   giving a professional fingerprint access 
as well as time attendance   control system. It also uses fingerprint 
rather than card system for the   access. This can also be extensively 
used in the Confidential Places   due to its easy installation as well 
as high security (http://www.convexiconindia.com/hardware/biometric.html)",Hotels and companies: http://www.convexiconindia.com/clients.html,,An ISO 9001: 2008 Certified Company,Privacy Statement: http://www.convexiconindia.com/Privacy-Statement.html,"1, 5, 6, -",2,,
 WSS Security Solutions Pvt Ltd,www.wssgroup.in,,,Mr. Harminder Singh,"Gurgaon, India",,"NH 8, Gurgaon, Haryana, India",wssharminder@gmail.com  ,00 91 9871373333,,,CCTV cameras,,,,,,,,"CCTV cameras: http://www.wssgroup.in/cctvcamera.html
",,,Haryana Police and companies: http://www.wssgroup.in/client.html,,,N/A,6,"2, 4, -",,North India’s first CCTV zone
Nice Deal,http://www.indiamart.com/nicedeal/spy-mobile-softwares.html,2010,,Ms. Paramjeet Kaur (Proprietor),"Haryana, India",,"No. 189 A, Sector 16
Panchkula - 134 109, Haryana, India",, 00 91 172 2586765,,,"Spy Hidden Cameras, GPS Trackers and Navigators, Call Monitoring Devices, Spy Wall Listening Devices, Spy Bluetooth Watches, Pen Drive Voice Recorders, 3G Wireless Cameras, Hidden Security Cameras, Spy Mobile Software",,,"Spy Cell Phone Interceptor Software: With the help of latest technology, we are able to offer Spy Cell Phone 
Interceptor software that is helps in managing calls by sending SMS on 
the pre-defined number to a cellular phone if a call is in progress on 
the target phone (incoming or outgoing). When the user calls the target 
phone, he will hear the conversation taking place on the target phone. 
To execute this application, call conferencing and call display is 
required. This software offered by us, transforms the mobile phone into a
 sophisticated surveillance device and spy phone thus, is highly 
demanded in the market (http://www.indiamart.com/nicedeal/spy-mobile-softwares.html)",,,"GPS Trackers code VT-001: Working Based on existing GSM/GPRS network and GPS satellites, this 
product can locate and monitor any remote targets by SMS or internet. 
this item include Latest GPS Tracker Software (http://www.indiamart.com/nicedeal/gps-trackers-navigators.html), GPS Tracking Device: Track exactly, track secretly. This GPS tracker can be used to determine
 the precise location of a vehicle, person, or other asset to which it 
is attached and to record the position of the asset at certain 
intervals (http://www.indiamart.com/nicedeal/gps-trackers-navigators.html)",,"Spy Pen Cameras: These spy cameras are widely appreciated for its unique feature such as 
very high resolution video recording, in built microphone, compact 
design, long duration recording and long service life. They are mainly 
used by reporters, journalists and researchers to cover deceptive 
operations for public awareness (http://www.indiamart.com/nicedeal/spy-hidden-cameras.html), Lighter Video Cameras: Made in Taiwan, includes PC camera function and records video with audio (http://www.indiamart.com/nicedeal/spy-hidden-cameras.html), Spy Coca-Cola Can Camera: These cameras are built-in Coca-Cola cans, which is a very casual type 
of camera used as a protection tool in daily life or as surveillance 
equipment especially (http://www.indiamart.com/nicedeal/spy-hidden-cameras.html), Wrist Watch Cameras: The Spy Wrist Watch Video Cameras are widely used for carrying out 
various sting operations by newspapers, television news channels, 
research based projects and many other organizations (http://www.indiamart.com/nicedeal/spy-hidden-cameras.html)",,,"The public - including journalists, researchers, organizations, etc. ",,,N/A,"10, 5, 6, -",1,,Some of the products include hidden security products (in wrist watches and spectacles)
